Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Parameter_type,Parameter_FromFigure,Method_from_supplement,Parameter value,Exponent,Parameter lower bound,Parameter upper bound,Inverse_param,Parameter unit,Parameter value type,Parameter statistical approach,Parameter uncertainty - single type,Parameter uncertainty - single value,Parameter uncertainty - type,Parameter uncertainty - lower value,Parameter uncertainty - upper value,Distribution_type,Distribution_par1_type,Distribution_par1_value,Distribution_par1_uncertainty,Distribution_par2_type,Distribution_par2_value,Distribution_par2_uncertainty,parameter_paired,Parameter 2 value type,Parameter 2 value,Parameter 2 lower bound,Parameter 2 upper bound,Exponent_2,Inverse_param_2,Parameter 2 unit,Method_2_from_supplement,Parameter 2 statistical approach,Parameter 2 uncertainty - single type,Parameter 2 uncertainty - single value,Parameter 2 uncertainty type,Parameter 2 uncertainty - lower value,Parameter 2 uncertainty - upper value,Distribution_2_type,Distribution_2_par1_type,Distribution_2_par1_value,Distribution_2_par1_uncertainty,Distribution_2_par2_type,Distribution_2_par2_value,Distribution_2_par2_uncertainty,Genome_site,Genomic_sequence_available,Method_R,R_pathway,parameter_hd_from,Other_delay_start,parameter_hd_to,Other_delay_end,CFR_IFR_numerator,CFR_IFR_denominator,CFR_IFR_Method,Case_definition,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Method_disaggregated,Method_disaggregated_only,Method_disaggregated_by,Population_sex,Population_sample_size,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_country,Population_location,parameter_context_location_type,Method_moment_value,Urban/Rural area,Data_available,parameter_notes,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,access_param_id,Pathogen,num_rows,matching
59,1,FALSE,1078,Amy Dighe,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Age,Comorbidity,Occupation",Healthcare,Significant,Not adjusted,No,NA,NA,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,14 ICUs across 5 cities,multiple cities,Unspecified,Urban area,Not available,Risk factor outcome was death amongst patients with MERS SARI - Table 1,NA,9,2012,NA,10,2015,059_011,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - other human delay (go to section),No,No,7,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,11,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset,Admission to Critical Care/ICU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Population is MERS SARI patients. Disaggregation into survivors and non-survivors (extracted separately),NA,9,2012,NA,10,2015,059_002,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Risk factors,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,"Comorbidity,Sex",NA,Not significant,Not adjusted,No,NA,NA,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,14 ICUs across 5 cities,multiple cities,Unspecified,Urban area,Not available,Risk factor outcome was death amongst patients with MERS SARI - Table 1,NA,9,2012,NA,10,2015,059_012,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - other human delay (go to section),No,No,8,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,12,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Symptom Onset,Other,Invasive mechanical ventilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,NA,Hospital based,Other,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Population is MERS SARI patients. Median and IQR apply to the 85.2% of patients who received intubation (out of 330 total). Disaggregated into survivors and non-survivors (extracted separately).,NA,9,2012,NA,10,2015,059_003,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - time in care (length of stay),No,No,19,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,10,35,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Population is MERS SARI patients. This is the hospital stay overall (disaggregation into survivors and non survivors extracted separately),NA,9,2012,NA,10,2015,059_004,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - time in care (length of stay),No,No,16,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,10,26,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,217,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Length of hospital stay among MERS SARI patients who did not survive.,NA,9,2012,NA,10,2015,059_014,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - time in care (length of stay),No,No,33,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,14,67,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Both,113,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Population is MERS SARI patients who had survived at 90 days. Hospital stay amongst the subset of cases who survived.,NA,9,2012,NA,10,2015,059_005,MERS-CoV,1,0
141,1,FALSE,1078,Gina Cuomo-Dannenburg,Human delay - other human delay (go to section),No,No,37,NA,NA,NA,NA,Days,Median,Estimated parameter,NA,NA,CI95%,24,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Time for RNA clearance,Other,Time for RNA clearance,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Other,Both,217,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Time to viral clearance in MERS SARI patients amongst non-survivors,NA,9,2012,NA,10,2015,141_011,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - other human delay (go to section),No,No,9,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,16,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Admission to ICU,Discharge from Critical Care/ICU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,217,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Length of ICU stay among MERS SARI non-survivors,NA,9,2012,NA,10,2015,059_015,MERS-CoV,1,0
59,1,FALSE,1078,Amy Dighe,Human delay - other human delay (go to section),No,No,10,NA,NA,NA,No,Days,Median,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,IQR,NA,5,18,NA,No,Days,No,Observed sample statistic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Admission to ICU,Discharge from Critical Care/ICU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Other,Both,330,Hospital based,Persons under investigation,NA,NA,Saudi Arabia,ICUs in 14 referral hospitals in 5 cities (see supplement),multiple cities,Unspecified,Urban area,Not available,Population is MERS SARI patients. ICU length of stay overall  (disaggregation into survivors and non survivors extracted separately),NA,9,2012,NA,10,2015,059_006,MERS-CoV,1,0
