id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,r_pathway,parameter_class
9f62e47ed45a53c1336e8e63d7d7f6cb,69df4cbc0d4c95524c8cb3e4416bc2b1,18,Lassa mammarenavirus,Seroprevalence - IFA,21,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,51,245,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Children,0,14,479,Sierra Leone,Eastern Province,NA,Aug,1977,NA,Aug,1981,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
9f62e47ed45a53c1336e8e63d7d7f6cb,0793b33417152f31bb5d091d2bb5d0b6,18,Lassa mammarenavirus,Severity - case fatality rate (CFR),11.7,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,6,51,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,Naive,NA,Age;Sex,TRUE,FALSE,NA,NA,NA,NA,NA,Both,Hospital based,Children,0,14,225,Sierra Leone,Eastern Province,NA,Aug,1977,NA,Aug,1981,NA,FALSE,NA,NA,FALSE,FALSE,NA,Severity
31dd2011f51dde6a294decf0394646e4,12bd4b6cfe171d910ecdfc1781a2f80d,18,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Death,Sex,NA,Not significant,Not adjusted,Both,Hospital based,Children,0,14,245,Sierra Leone,Eastern Province,NA,Aug,1977,NA,Aug,1981,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
31dd2011f51dde6a294decf0394646e4,2574e43bd234df94399eb6adfcf5cb5f,18,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Infection,Sex,NA,Significant,Not adjusted,Both,Hospital based,Children,0,14,245,Sierra Leone,Eastern Province,NA,Aug,1977,NA,Aug,1981,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
7f4b4528feba7ce6d3a5033854ea7a42,56a6343b241fe047828d59c77fccd3eb,49,Lassa mammarenavirus,Seroprevalence - IgG,1.3,0,Percentage (%),NA,NA,Unspecified,NA,NA,NA,NA,NA,3,225,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Both,Community based,Mixed groups,NA,NA,225,Liberia,Grand Bassa County,NA,Nov,1981,NA,Jan,1982,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
93d3ee2b0b807525133000bdfb9e41f6,66d5987987dbb6c9b2876af45f2e9197,61,Lassa mammarenavirus,Human delay - symptom onset>death,NA,0,Weeks,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Persons under investigation,NA,NA,NA,Nigeria,Jos Plateau,NA,Jan,1970,NA,Feb,1970,NA,FALSE,NA,NA,FALSE,FALSE,NA,Human delay
93d3ee2b0b807525133000bdfb9e41f6,a1b9de956b4e773b45e56b47e4a5c299,61,Lassa mammarenavirus,Human delay - other human delay (go to section),NA,0,Weeks,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Unspecified,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Persons under investigation,NA,NA,NA,Nigeria,Jos Plateau,NA,Jan,1970,NA,Feb,1970,NA,FALSE,Symptom Onset/Fever,Symptom Resolution,FALSE,FALSE,NA,Human delay
b1ed69167fd7c17d124b8f1bf65329e1,ae1e378d07ade02081d4faa5ffa08114,61,Lassa mammarenavirus,Seroprevalence - Unspecified,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Hospital based,Healthcare workers,NA,NA,22,Nigeria,Jos,NA,Jan,1970,NA,Feb,1970,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
b1ed69167fd7c17d124b8f1bf65329e1,30508007058c4b9da1a956b9395a828e,61,Lassa mammarenavirus,Seroprevalence - Unspecified,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,53,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Mid outbreak,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,Unspecified,Contact based,Persons under investigation,NA,NA,53,Nigeria,Jos Plateau,NA,Jan,1970,NA,Feb,1970,NA,FALSE,NA,NA,FALSE,FALSE,NA,Seroprevalence
0e06f783f34b11ba33b1ab6f3d7c2d43,1a304d4cd1a15bca0473d75f77647079,68,Lassa mammarenavirus,Risk factors,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,Endemic,NA,NA,NA,FALSE,FALSE,Serology,Sex,NA,Not significant,Unspecified,Both,Population based,General population,5,70,1677,Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,Risk factors
