Article_ID,Pathogen,Covidence_ID,FirstAauthor_Surname,Article_title,DOI,Journal,Year_publication,Volume,Issue,Page_first,Page_last,Name_data_entry,Paper_copy_only,Notes,FirstAuthor_FirstName,QA_M1,QA_M2,QA_A3,QA_A4,QA_D5,QA_D6,QA_D7,Covidence_ID_text,ID
1,Zika virus,890,Rojas,Transmission of Zika virus (ZIKV) was first detected in Colombia in September 2015. As of April 2016; Colombia had reported over 65;000 cases of Zika virus disease (ZVD). We analysed daily surveillance data of ZVD cases reported to the health authorities of San Andres and Girardot; Colombia; between September 2015 and January 2016. ZVD was laboratory-confirmed by reverse transcription-polymerase chain reaction (RT-PCR) in the serum of acute cases within five days of symptom onset. We use daily incidence data to estimate the basic reproductive number (R0) in each population. We identified 928 and 1;936 reported ZVD cases from San Andres and Girardot; respectively. The overall attack rate for reported ZVD was 12.13 cases per 1;000 residents of San Andres and 18.43 cases per 1;000 residents of Girardot. Attack rates were significantly higher in females in both municipalities (p < 0.001). Cases occurred in all age groups with highest rates in 20 to 49 year-olds. The estimated R0 for the Zika outbreak was 1.41 (95% confidence interval (CI): 1.15-1.74) in San Andres and 4.61 (95% CI: 4.11-5.16) in Girardot. Transmission of ZIKV is ongoing in the Americas. The estimated R0 from Colombia supports the observed rapid spread.,10.2807/1560-7917.es.2016.21.28.30283,Euro Surveill,2016,21,28,1,22,Anna Vicco,FALSE,"page number reported in the paper as ""Page 1"" ecc;
proportion of neurological complications in fetus not extracted",D.P.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,890,20b33325ec2e04f800032770a256b30e
2,Zika virus,873,Rosenberg,Prevalence and incidence of Zika virus infection among household contacts of patients with Zika virus disease; Puerto Rico; 2016-2017,10.1093/infdis/jiy689,J Infect Dis,2019,220,6,932,939,Anna Vicco,FALSE,"They do not clearly state ""outbreak"" but report number of cases
The data is available as figure",Eli S.,Yes,Yes,Yes,Yes,Yes,Yes,No,873,3c0289911d911bae105ce5f728536c31
3,Zika virus,1117,Solimini,Outbreaks of arbovirus infections vectored by invasive Aedes albopictus have already occurred and are predicted to become increasingly frequent in Southern Europe. We present a probabilistic model to assess risk of arbovirus outbreaks based on incident cases worldwide; on the probability of arrival of infected travelers; and on the abundance of the vector species. Our results show a significant risk of Chikungunya outbreak in Rome from mid June to October in simulations with high human biting rates (i.e. when >/=50% of the population is bitten every day). The outbreak risk is predicted to be highest for Chikungunya and null for Zika. Simulated increase of incident cases in selected endemic countries has no major impact on the outbreak risk. The model correctly estimated the number of imported cases and can be easily adapted to other urban areas where Ae. albopictus is the only potential vector present.,10.1038/s41598-018-34664-5,Sci Rep,2018,8,1,16435,NA,Anna Vicco,FALSE,"data from WHO reports
value for our review?",Angelo G.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1117,38febf5f0f615b804ba51b592507cfc1
4,Zika virus,1496,Ospina,Stratifying the potential local transmission of Zika in municipalities of Antioquia; Colombia,10.1111/tmi.12924,Trop Med Int Health,2017,22,10,1249,1265,Anna Vicco,FALSE,"data available
outbreak reported; not clearly stated as outbreak",Juan,Yes,NA,Yes,Yes,Yes,Yes,Yes,1496,4373c8705f186f97e650dcd7d8576797
5,Zika virus,1508,O'Reilly,Projecting the end of the Zika virus epidemic in Latin America: a modelling analysis,10.1186/s12916-018-1158-8,BMC Med,2018,16,1,180,NA,Anna Vicco,FALSE,NA,Kathleen M.,No,No,Yes,Yes,Yes,Yes,Yes,1508,1c430e2484a3caf5e9c3c94164a9b3ad
6,Zika virus,268,Villela,Zika in Rio de Janeiro: Assessment of basic reproduction number and comparison with dengue outbreaks,10.1017/s0950268817000358,Epidemiol Infect,2017,145,8,1649,1657,Anna Vicco,FALSE,NA,D.A.M.,Yes,Yes,Yes,Yes,Yes,No,Yes,268,a61a014f4cb51abe3475d8d0b31a9841
7,Zika virus,248,Wang,Modeling the transmission and control of Zika in Brazil,10.1038/s41598-017-07264-y,Sci Rep,2017,7,1,7721,NA,Anna Vicco,FALSE,NA,Liping,Yes,Yes,Yes,Yes,Yes,No,Yes,248,4cdd4fd17b66a67ef6df4c1b397c4b12
8,Zika virus,924,Rodhain,Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district; 1984,NA,Trans R Soc Trop Med Hyg,1989,83,6,851,854,Anna Vicco,FALSE,NA,F.,Yes,No,NA,NA,Yes,No,No,924,d917570138bc8903afdbaa2f85ec3b58
9,Zika virus,729,Sasmal,Modeling the Spread of Zika Virus in a Stage-Structured Population: Effect of Sexual Transmission,10.1007/s11538-018-0510-7,Bull Math Biol,2018,80,11,3038,3967,Anna Vicco,FALSE,NA,Sourav Kumar,Yes,Yes,Yes,Yes,Yes,No,Yes,729,7d49b13bdf0eef103b35bbb481615a9d
10,Zika virus,947,Riou,The recent global dissemination of Chikungunya and Zika has fostered public health concern worldwide. To better understand the drivers of transmission of these two arboviral diseases; we propose a joint analysis of Chikungunya and Zika epidemics in the same territories; taking into account the common epidemiological features of the epidemics: transmitted by the same vector; in the same environments; and observed by the same surveillance systems. We analyse eighteen outbreaks in French Polynesia and the French West Indies using a hierarchical time-dependent SIR model accounting for the effect of virus; location and weather on transmission; and based on a disease specific serial interval. We show that Chikungunya and Zika have similar transmission potential in the same territories (transmissibility ratio between Zika and Chikungunya of 1.04 [95% credible interval: 0.97; 1.13]); but that detection and reporting rates were different (around 19% for Zika and 40% for Chikungunya). Temperature variations between 22 degrees C and 29 degrees C did not alter transmission; but increased precipitation showed a dual effect; first reducing transmission after a two-week delay; then increasing it around five weeks later. The present study provides valuable information for risk assessment and introduces a modelling framework for the comparative analysis of arboviral infections that can be extended to other viruses and territories.,10.1016/j.epidem.2017.01.001,Epidemics,2017,19,NA,43,52,Anna Vicco,FALSE,attack rate in a figure; but no clear numeric values associated to each parameter,Julien,Yes,Yes,Yes,Yes,Yes,Yes,Yes,947,4a1b4eb91bc7c144f5766c5022434ab3
