Article_ID,ID,Parameter_data_ID,Parameter_type,Parameter.value,Exponent,Parameter.unit,Parameter.lower.bound,Parameter.upper.bound,Parameter.value.type,Parameter.uncertainty...single.value,Parameter.uncertainty...singe.type,Parameter.uncertainty...lower.value,Parameter.uncertainty...upper.value,Parameter.uncertainty...type,CFR_IFR_numerator,CFR_IFR_denominator,Distribution_type,Distribution_par1_value,Distribution_par1_type,Distribution_par1_uncertainty,Distribution_par2_value,Distribution_par2_type,Distribution_par2_uncertainty,Method_from_supplement,Method_moment_value,CFR_IFR_Method,Method_R,Method_disaggregated_by,Method_disaggregated,Method_disaggregated_only,Riskfactor_outcome,Riskfactor_name,Riskfactor_occupation,Riskfactor_significant,Riskfactor_adjusted,Population_sex,Population_sample_type,Population_group,Population_age_min,Population_age_max,Population_sample_size,Population_country,Population_location,Population_study_start_day,Population_study_start_month,Population_study_start_year,Population_study_end_day,Population_study_end_month,Population_study_end_year,Genome_site,Genomic_sequence_available,Other_delay_start,Other_delay_end,Inverse_param,Ebola.variant
36,8bd5c61ba438cd614e99cedafb274100,8e25186ea9f929587fb56f8e38a1a4a3,Human delay - other human delay (go to section),NA,0,Days,3,3.6,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,76,1,1,,76,76,,,Unspecified,,,NA,NA,NA,76,,21,Dec 12,2014,15,Aug 08,2015,,0,Symptom Onset/Fever,Death,0,76
36,8bd5c61ba438cd614e99cedafb274100,3eae8e958d8c22afe75e731b9685dfa1,Human delay - other human delay (go to section),NA,0,Days,8,20,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,77,1,1,,77,77,,,Unspecified,,,NA,NA,NA,77,,21,Dec 12,2014,15,Aug 08,2015,,0,Symptom Onset/Fever,Recovery/non-Infectiousness,0,77
36,8bd5c61ba438cd614e99cedafb274100,34d21b03132832c346498ee55dfcc934,Severity - case fatality rate (CFR),NA,0,Percentage (%),10,39,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,Unspecified,,78,1,1,,78,78,,,Unspecified,,,NA,NA,NA,78,,21,Dec 12,2014,15,Aug 08,2015,,0,,,0,78
36,8bd5c61ba438cd614e99cedafb274100,09fbc4ddbd532537b74ecd497dd1a2c0,"Reproduction number (Effective, Re)",NA,0,No units,0.68,1.98,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,Other,79,1,1,,79,79,,,Unspecified,,,NA,NA,NA,79,,21,Dec 12,2014,15,Aug 08,2015,,0,,,0,79
35,413529ceff4f27388167d93cce00880c,28e866305bb2afd78c6186e46c985030,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,74,0,0,Infection,74,74,Not significant,Not adjusted,,,,NA,NA,NA,74,,NA,,NA,NA,,NA,,0,,,0,74
35,413529ceff4f27388167d93cce00880c,40e64d065811fc5f13b155263921d8b8,Severity - case fatality rate (CFR),34,0,Percentage (%),31,67,,NA,,NA,NA,,39,116,NA,NA,NA,0,NA,NA,0,0,Unspecified,Naive,,70,1,0,,70,70,,,Both,Community based,General population,3,70,116,70,Bundibugyo district,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,70
35,413529ceff4f27388167d93cce00880c,b9fa6330b2121729a88cd39f41b6822a,Human delay - incubation period,7,0,Days,NA,NA,Median,NA,,2,20,Range,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,71,0,0,,71,71,,,Both,Community based,General population,3,70,116,71,Bundibugyo district,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,71
35,413529ceff4f27388167d93cce00880c,7b7c936a6b2218206c1a35a66a4665ed,Attack rate,43,-5,No units,0,185,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,Unspecified,,,72,1,0,,72,72,,,Both,Community based,General population,NA,NA,NA,72,Bundibugyo,29,Nov 11,2007,20,Feb 02,2008,,0,,,0,72
35,413529ceff4f27388167d93cce00880c,80dff48c784514e080922344e4159703,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,73,0,0,Infection,73,73,Significant,Not adjusted,,,,NA,NA,NA,73,,NA,,NA,NA,,NA,,0,,,0,73
35,413529ceff4f27388167d93cce00880c,50b30896f9efab3abfa0a30ccedc9bcc,Risk factors,NA,0,,NA,NA,,NA,,NA,NA,,NA,NA,NA,NA,NA,0,NA,NA,0,0,,,,75,0,0,Infection,75,75,Significant,Adjusted,,,,NA,NA,NA,75,,NA,,NA,NA,,NA,,0,,,0,75
