fixed,covidence_id,name_data_entry,shared_article_id,shared_model_id,name_data_entry.x,model_data_id,article_id,model_type,compartmental_type,stoch_deter,theoretical_model,interventions_type,code_available,transmission_route,assumptions,ebola_variant,name_data_entry.y,double_extracted,num_rows,matching
1,30,Christian,1_Christian,1_Christian,Christian,1,1,Compartmental,SEIR,Deterministic,FALSE,Unspecified,FALSE,Human to human (direct non-sexual contact),Heterogenity in transmission rates - over time;Homogeneous mixing,Unspecified,Christian,1,1,0
1,45,Anne,25_Anne,16_Anne,Anne,16,25,Branching process,NA,Stochastic,FALSE,Other;Quarantine,TRUE,Human to human (direct non-sexual contact),Heterogenity in transmission rates - between groups,Unspecified,Anne,1,1,0
1,65,Ettie Unwin,12_Ettie Unwin,5_Ettie Unwin,Ettie Unwin,5,12,Compartmental,Other compartmental,NA,FALSE,Hospitals;Safe burials,FALSE,Human to human (direct non-sexual contact),NA,Unspecified,Ettie Unwin,1,1,0
1,159,Dariya Nikitin,2_Dariya Nikitin,1_Dariya Nikitin,Dariya Nikitin,1,2,Compartmental,SIR,Deterministic,FALSE,Unspecified,FALSE,Unspecified,Unspecified,Unspecified,Dariya Nikitin,1,1,0
1,206,Dariya Nikitin,5_Dariya Nikitin,5_Dariya Nikitin,Dariya Nikitin,5,5,Compartmental,Other compartmental,Deterministic,FALSE,Quarantine;Treatment,FALSE,Unspecified,Homogeneous mixing;Latent period is same as incubation period;Heterogenity in transmission rates - over time,Unspecified,Dariya Nikitin,1,1,0
1,291,Rebecca Nash,8_Rebecca Nash,1_Rebecca Nash,Rebecca Nash,1,8,Compartmental,Other compartmental,Stochastic,FALSE,Quarantine;Safe burials;Treatment,FALSE,Human to human (direct non-sexual contact),Heterogenity in transmission rates - over time,Unspecified,Rebecca Nash,1,1,0
1,291,Rebecca Nash,8_Rebecca Nash,2_Rebecca Nash,Rebecca Nash,2,8,Compartmental,Other compartmental,Deterministic,FALSE,Quarantine;Safe burials;Treatment,FALSE,Human to human (direct non-sexual contact),Heterogenity in transmission rates - over time,Unspecified,Rebecca Nash,1,1,0
1,291,Rebecca Nash,8_Rebecca Nash,3_Rebecca Nash,Rebecca Nash,3,8,Compartmental,SEIR,Deterministic,FALSE,Quarantine;Safe burials;Treatment,FALSE,Human to human (direct non-sexual contact),Unspecified,Unspecified,Rebecca Nash,1,1,0
1,315,Sequoia,40_Sequoia,28_Sequoia,Sequoia,28,40,Compartmental,Other compartmental,Stochastic,FALSE,Behaviour changes,FALSE,Human to human (direct non-sexual contact);Sexual,NA,Unspecified,Sequoia,1,1,0
1,404,Ruth,4_Ruth,3_Ruth,Ruth,3,4,Compartmental,SIR,NA,FALSE,Treatment,FALSE,Human to human (direct non-sexual contact),NA,Unspecified,Ruth,1,1,0
