input_col,input_table,target_col,target_table
record_id,Article Data,Article_ID,articles
record_id,Record Id,Article_ID,articles
record_id,Quality Assessment,Article_ID,articles
pathogen,Record Id,Pathogen,articles
article_covidenceid,Article Data,Covidence_ID,articles
article_author_surname,Article Data,FirstAauthor_Surname,articles
article_title,Article Data,Article_title,articles
article_doi,Article Data,DOI,articles
article_journal,Article Data,Journal,articles
article_year,Article Data,Year_publication,articles
article_volume,Article Data,Volume,articles
article_issue,Article Data,Issue,articles
article_first_page,Article Data,Page_first,articles
article_last_page,Article Data,Page_last,articles
extractor_name,Record Id,Name_data_entry,articles
article_paper_copy,Article Data,Paper_copy_only,articles
article_notes,Article Data,Notes,articles
article_author_firstname,Article Data,FirstAuthor_FirstName,articles
qa_method_clear,Quality Assessment,QA_M1,articles
qa_method_robust,Quality Assessment,QA_M2,articles
qa_assumptions_clear,Quality Assessment,QA_A3,articles
qa_assumptions_justified,Quality Assessment,QA_A4,articles
qa_data_clear,Quality Assessment,QA_D5,articles
qa_issues_clear,Quality Assessment,QA_D6,articles
qa_issues_accounted,Quality Assessment,QA_D7,articles
article_covidenceid,Article Data,Covidence_ID_text,articles
record_id,Model Information,Article_ID,models
model_type,Model Information,Model_type,models
model_compartmental,Model Information,Compartmental_type,models
model_stoch_det,Model Information,Stoch_Deter,models
model_theoretical,Model Information,Theoretical_model,models
model_intervention,Model Information,Interventions_type,models
model_code,Model Information,Code_available,models
model_transmission,Model Information,Transmission_route,models
model_assumptions,Model Information,Assumptions,models
record_id,Outbreak Data,Article_ID,outbreaks
outbreak_date_start,Outbreak Data,Outbreak_start,outbreaks
outbreak_date_end,Outbreak Data,Outbreak_end,outbreaks
outbreak_duration,Outbreak Data,Outbreak_duration_months,outbreaks
outbreak_asympt_transm,Outbreak Data,Asymptomatic_transmission,outbreaks
outbreak_country,Outbreak Data,Outbreak_country,outbreaks
outbreak_location,Outbreak Data,Outbreak_location,outbreaks
outbreak_confirmed,Outbreak Data,Cases_confirmed,outbreaks
outbreak_detection,Outbreak Data,Cases_mode_detection,outbreaks
outbreak_suspected,Outbreak Data,Cases_suspected,outbreaks
outbreak_asymptomatic,Outbreak Data,Cases_asymptomatic,outbreaks
outbreak_severe,Outbreak Data,Cases_severe,outbreaks
outbreak_deaths,Outbreak Data,Deaths,outbreaks
outbreak_baseline,Outbreak Data,Pre-Outbreak,outbreaks
outbreak_ongoing,Outbreak Data,Ongoing,outbreaks
record_id,Parameter Data,Article_ID,parameters
parameter_type,Parameter Data,Parameter_type,parameters
parameter_value,Parameter Data,Parameter value,parameters
parameter_unit,Parameter Data,Parameter unit,parameters
parameter_range_low,Parameter Data,Parameter lower bound,parameters
parameter_range_upper,Parameter Data,Parameter upper bound,parameters
parameter_value_type,Parameter Data,Parameter value type,parameters
parameter_unc_single_type,Parameter Data,Parameter uncertainty - singe type,parameters
parameter_unc_single_value,Parameter Data,Parameter uncertainty - single value,parameters
parameter_unc_pair_value_low,Parameter Data,Parameter uncertainty - lower value,parameters
parameter_unc_pair_value_up,Parameter Data,Parameter uncertainty - upper value,parameters
parameter_unc_pair_type,Parameter Data,Parameter uncertainty - type,parameters
parameter_cfr_num,Parameter Data,CFR_IFR_numerator,parameters
parameter_cfr_denom,Parameter Data,CFR_IFR_denominator,parameters
parameter_distribution_type,Parameter Data,Distribution_type,parameters
parameter_distribution_value,Parameter Data,Distribution_par1_value,parameters
parameter_distribution_value_2,Parameter Data,Distribution_par2_value,parameters
parameter_distribution_type_2,Parameter Data,Distribution_par2_type,parameters
parameter_supplement,Parameter Data,Method_from_supplement,parameters
parameter_cfr_method,Parameter Data,CFR_IFR_Method,parameters
parameter_r_method,Parameter Data,Method_R,parameters
parameter_disaggregated_only,Parameter Data,Method_disaggregated_by,parameters
parameter_disaggregated,Parameter Data,Method_disaggregated,parameters
parameter_disaggregated_by,Parameter Data,Method_disaggregated_only,parameters
parameter_rf_outcome,Parameter Data,Riskfactor_outcome,parameters
parameter_rf_name,Parameter Data,Riskfactor_name,parameters
parameter_rf_occupation,Parameter Data,Riskfactor_occupation,parameters
parameter_rf_significant,Parameter Data,Riskfactor_significant,parameters
parameter_rf_adjusted,Parameter Data,Riskfactor_adjusted,parameters
parameter_context_sex,Parameter Data,Population_sex,parameters
parameter_context_setting,Parameter Data,Population_sample_type,parameters
parameter_context_group,Parameter Data,Population_group,parameters
parameter_context_age_min,Parameter Data,Population_age_min,parameters
parameter_context_age_max,Parameter Data,Population_age_max,parameters
parameter_context_sample,Parameter Data,Population_sample_size,parameters
parameter_context_country,Parameter Data,Population_country,parameters
parameter_context_location,Parameter Data,Population_location,parameters
parameter_context_start,Parameter Data,Population_study_start,parameters
parameter_context_end,Parameter Data,Population_study_end,parameters
parameter_gene,Parameter Data,Genome_site,parameters
parameter_gene_data,Parameter Data,Genomic_sequence_available,parameters
parameter_hd_from_other,Parameter Data,Other_delay_start,parameters
parameter_hd_to_other,Parameter Data,Other_delay_end,parameters
parameter_inverse,Parameter Data,Inverse_param,parameters
parameter_figure,Parameter Data,Parameter_FromFigure,parameters
parameter_r_pathway,Parameter Data,R_pathway,parameters
article_preprint,Article Data,,articles
outbreak_country_import,Outbreak Data,,outbreaks
outbreak_location_imported,Outbreak Data,,outbreaks
outbreak_unspecified,Outbreak Data,,outbreaks
outbreak_population_size,Outbreak Data,,outbreaks
outbreak_sex,Outbreak Data,,outbreaks
oubreak_males,Outbreak Data,,outbreaks
outbreak_proportion_males,Outbreak Data,,outbreaks
outbreak_females,Outbreak Data,,outbreaks
outbreak_proportion_females,Outbreak Data,,outbreaks
outbreak_youngest,Outbreak Data,,outbreaks
outbreak_oldest,Outbreak Data,,outbreaks
outbreak_vertical_transm,Outbreak Data,,outbreaks
outbreak_case_report,Outbreak Data,,outbreaks
outbreak_case_age,Outbreak Data,,outbreaks
outbreak_case_sex,Outbreak Data,,outbreaks
outbreak_case_pregnant,Outbreak Data,,outbreaks
parameter_statistical,Parameter Data,,parameters
parameter_paired,Parameter Data,,parameters
parameter_type_2,Parameter Data,,parameters
parameter_value_2,Parameter Data,,parameters
parameter_range_low_2,Parameter Data,,parameters
parameter_range_upper_2,Parameter Data,,parameters
parameter_inverse_2,Parameter Data,,parameters
parameter_unit_2,Parameter Data,,parameters
parameter_value_type_2,Parameter Data,,parameters
parameter_supplement_2,Parameter Data,,parameters
parameter_statistical_2,Parameter Data,,parameters
parameter_unc_single_type_2,Parameter Data,,parameters
parameter_unc_single_value_2,Parameter Data,,parameters
parameter_unc_pair_type_2,Parameter Data,,parameters
parameter_unc_pair_value_low_2,Parameter Data,,parameters
parameter_unc_pair_value_up_2,Parameter Data,,parameters
parameter_hd_from,Parameter Data,,parameters
