Article_ID,fixed,only_notes_mismatch,Covidence_ID,Name_data_entry,Outbreak_duration_months,Ongoing,Outbreak_country,Outbreak_location,outbreak_location_type,outbreak_source,Pre-Outbreak,Cases_confirmed,Cases_suspected,Cases_unspecified ,Cases_asymptomatic,Asymptomatic_transmission,Cases_severe,Deaths,Population_size,Type_cases_sex_disagg,Male_cases,Prop_male_cases,Female_cases,Prop_female_cases,outbreak_notes,Cases_mode_detection,Outbreak_start_day,Outbreak_start_month,Outbreak_start_year,Outbreak_end_day,Outbreak_end_month,Outbreak_end_year,outbreak_probable,Pathogen,access_outbreak_id,Outbreak_ID,num_rows,matching
50,1,FALSE,36,Tristan Naidoo,NA,No,Singapore,NA,NA,Domestic animal,Unspecified,11,24,NA,NA,No,NA,1,NA,Confirmed,11,NA,NA,NA,"Abattoir workers; 35 with symptoms; 11 confirmed with serology, all confirmed serology were men.",Symptoms,16,3,1999,NA,NA,1999,NA,Nipah virus,050_001,050_001,1,0
36,1,FALSE,103,sangeeta bhatia,NA,No,Bangladesh,Tangail,district,Date palm sap,Unspecified,12,124,NA,NA,No,NA,11,NA,Suspected,7,0.58,5,0.42,NA,Symptoms,15,12,2004,31,1,2005,NA,Nipah virus,036_001,036_001,1,0
44,1,167,167,sangeeta bhatia,1,No,Bangladesh,Meherpur,district,Unknown,Unspecified,4,9,NA,NA,No,NA,9,604,Other,6,0.46,NA,NA,NA,Symptoms,20,4,2001,20,5,2001,NA,Nipah virus,044_001,044_001,1,0
44,1,167,167,sangeeta bhatia,NA,No,Bangladesh,Naogaon,district,Unknown,Unspecified,4,8,NA,NA,No,NA,8,NA,Other,8,0.67,NA,NA,NA,Symptoms,11,1,2003,28,1,2003,NA,Nipah virus,044_002,044_002,1,0
29,1,FALSE,184,Rob Johnson,NA,No,India,"Siliguri, West Bengal",town,Unknown,NA,NA,66,NA,NA,No,NA,45,500000,Suspected,39,NA,27,NA,NA,Symptoms,31,1,2001,23,2,2001,NA,Nipah virus,029_001,029_001,1,0
57,1,FALSE,192,sangeeta,NA,No,Bangladesh,rajbari,district,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,outbreak probably reported elsewhere,NA,NA,1,2004,NA,2,2004,NA,Nipah virus,057_001,057_001,1,0
58,1,FALSE,207,sangeeta,NA,No,Malaysia,Negri Sembilan State,NA,Domestic animal,NA,NA,94,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,ratio of males to females is 4.5 to 1. 110 -91 confirmed 19 suspected cases?,Symptoms,NA,2,1999,NA,6,1999,NA,Nipah virus,058_001,058_001,1,0
7,1,FALSE,270,Christian Morgenstern,NA,No,Malaysia,NA,country,Domestic animal,Disease-free baseline,NA,NA,265,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,some PCR testing only,Symptoms,NA,9,1998,NA,NA,NA,NA,Nipah virus,007_001,007_001,1,0
7,1,FALSE,270,Christian Morgenstern,NA,No,Singapore,NA,country,Domestic animal,Disease-free baseline,NA,NA,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Some PCR testing,Symptoms,NA,3,1999,NA,NA,NA,NA,Nipah virus,007_002,007_002,1,0
27,1,FALSE,271,Rob Johnson,NA,No,Malaysia,NA,NA,"Domestic animal,Unknown",Disease-free baseline,NA,NA,283,NA,NA,NA,109,NA,Unspecified,231,0.816,NA,NA,Malaysia - national level,Unspecified,29,9,1998,NA,12,1999,NA,Nipah virus,027_001,027_001,1,0
39,1,FALSE,271,Ruth McCabe,NA,No,Malaysia,Negeri Sembilan,State,"Domestic animal,Unknown",Disease-free baseline,NA,NA,231,NA,NA,NA,86,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,29,9,1998,NA,12,1999,NA,Nipah virus,039_002,039_002,1,0
39,1,FALSE,271,Ruth McCabe,NA,No,Malaysia,Perak,State,"Domestic animal,Unknown",Disease-free baseline,NA,NA,28,NA,NA,NA,15,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,29,8,1998,NA,12,1999,NA,Nipah virus,039_003,039_003,1,0
39,1,FALSE,271,Ruth McCabe,NA,No,Malaysia,Selangor,State,"Domestic animal,Unknown",Disease-free baseline,NA,NA,24,NA,NA,NA,8,NA,Unspecified,NA,NA,NA,NA,NA,Unspecified,29,9,1998,NA,12,1999,NA,Nipah virus,039_004,039_004,1,0
3,1,FALSE,291,Tristan Naidoo,NA,No,Singapore,NA,NA,Domestic animal,Disease-free baseline,22,NA,NA,10,NA,NA,NA,NA,Confirmed,22,1,0,0,import of pigs from Malaysia,Molecular (PCR etc),13,3,1999,NA,NA,NA,NA,Nipah virus,003_001,003_001,1,0
2,1,FALSE,292,Christian Morgenstern,NA,No,India,"Siliguri, West Bangal","city, state",Unknown,Disease-free baseline,10,56,NA,NA,No,NA,NA,500000,NA,NA,NA,NA,NA,Paper reports a CFR of 74% but does not state how many deaths. Ratio of 1.4 males to females in sample. Population size is approximate.,Confirmed + Suspected,31,1,2001,23,2,2001,NA,Nipah virus,002_001,002_001,1,0
33,1,FALSE,851,Richard Sheppard,NA,No,Bangladesh,Faridpur,district,"Domestic animal,Date palm sap",NA,NA,36,NA,NA,No,NA,27,NA,NA,NA,NA,NA,NA,NA,Confirmed + Suspected,NA,2,2004,NA,4,2004,NA,Nipah virus,033_004,033_004,1,0
